row_id,condition_label,alpha,nll,gc_fraction,gc_ci_low,gc_ci_high,n_prompts,n_seeds
102,control_row_102,0.0,6.3853948909044265,,,,0,0
102,control_row_102,0.1,6.385393040776253,,,,0,0
102,control_row_102,0.25,6.3853900015354155,,,,0,0
102,control_row_102,0.5,6.385386076569557,,,,0,0
102,control_row_102,0.75,6.385382533073425,,,,0,0
102,control_row_102,1.0,6.38538052380085,,,,0,0
102,control_row_102,1.5,6.385398891568184,,,,0,0
102,control_row_102,2.0,6.385493195652962,,,,0,0
102,control_row_102,3.0,6.385520263910293,,,,0,0
102,control_row_102,5.0,6.385592561364174,,,,0,0
102,control_row_102,8.0,6.385612323284149,,,,0,0
1126,control_row_1126,0.0,6.385231925845146,,,,0,0
1126,control_row_1126,0.1,6.385242712497711,,,,0,0
1126,control_row_1126,0.25,6.385260119438171,,,,0,0
1126,control_row_1126,0.5,6.385293684005737,,,,0,0
1126,control_row_1126,0.75,6.385335179567337,,,,0,0
1126,control_row_1126,1.0,6.38538052380085,,,,0,0
1126,control_row_1126,1.5,6.38558848619461,,,,0,0
1126,control_row_1126,2.0,6.385685789585113,,,,0,0
1126,control_row_1126,3.0,6.385890263319015,,,,0,0
1126,control_row_1126,5.0,6.386282303929329,,,,0,0
1126,control_row_1126,8.0,6.3868655478954315,,,,0,0
2621,control_row_2621,0.0,6.38568005502224,,,,0,0
2621,control_row_2621,0.1,6.385635714530945,,,,0,0
2621,control_row_2621,0.25,6.385570931434631,,,,0,0
2621,control_row_2621,0.5,6.385486324429512,,,,0,0
2621,control_row_2621,0.75,6.3854297053813935,,,,0,0
2621,control_row_2621,1.0,6.38538052380085,,,,0,0
2621,control_row_2621,1.5,6.38527619600296,,,,0,0
2621,control_row_2621,2.0,6.3851627302169796,,,,0,0
2621,control_row_2621,3.0,6.38494123339653,,,,0,0
2621,control_row_2621,5.0,6.384613990783691,,,,0,0
2621,control_row_2621,8.0,6.38412490427494,,,,0,0
3039,control_row_3039,0.0,6.385321444272995,,,,0,0
3039,control_row_3039,0.1,6.385326004624367,,,,0,0
3039,control_row_3039,0.25,6.385334604978562,,,,0,0
3039,control_row_3039,0.5,6.38534903883934,,,,0,0
3039,control_row_3039,0.75,6.38536469399929,,,,0,0
3039,control_row_3039,1.0,6.38538052380085,,,,0,0
3039,control_row_3039,1.5,6.38541467666626,,,,0,0
3039,control_row_3039,2.0,6.385447596907616,,,,0,0
3039,control_row_3039,3.0,6.385575414299965,,,,0,0
3039,control_row_3039,5.0,6.385889770388603,,,,0,0
3039,control_row_3039,8.0,6.386403141617775,,,,0,0
456,control_row_456,0.0,6.3853431630134585,,,,0,0
456,control_row_456,0.1,6.385344288945198,,,,0,0
456,control_row_456,0.25,6.385348938107491,,,,0,0
456,control_row_456,0.5,6.385357854366302,,,,0,0
456,control_row_456,0.75,6.38536933362484,,,,0,0
456,control_row_456,1.0,6.38538052380085,,,,0,0
456,control_row_456,1.5,6.385405426621437,,,,0,0
456,control_row_456,2.0,6.385434423089027,,,,0,0
456,control_row_456,3.0,6.385499461293221,,,,0,0
456,control_row_456,5.0,6.385644810199738,,,,0,0
456,control_row_456,8.0,6.385956308841705,,,,0,0
2371,random_direction,0.0,8.754319605827332,,,,0,0
2371,random_direction,0.0125,8.753588829040527,,,,0,0
2371,random_direction,0.025,8.752900342941285,,,,0,0
2371,random_direction,0.05,8.751532158851624,,,,0,0
2371,random_direction,0.1,8.748447380065919,,,,0,0
2371,random_direction,0.25,8.74292501449585,,,,0,0
2371,random_direction,0.5,8.733293561935424,,,,0,0
2371,random_direction,0.75,8.722664160728455,,,,0,0
2371,random_direction,1.0,8.711739401817322,,,,0,0
2371,random_direction,1.5,8.684712767601013,,,,0,0
2371,random_direction,2.0,8.663316617012024,,,,0,0
2371,random_direction,3.0,8.608202695846558,,,,0,0
2371,random_direction,5.0,8.49545283794403,,,,0,0
2371,random_direction,8.0,8.375072193145751,,,,0,0
2371,row2371,0.0,8.754319605827332,,,,0,0
2371,row2371,0.25,7.790863447189331,,,,0,0
2371,row2371,0.5,6.659344129562378,,,,0,0
2371,row2371,0.75,6.4129008495807645,,,,0,0
2371,row2371,1.0,6.38538052380085,,,,0,0
2371,row2371,1.5,6.491060765981675,,,,0,0
2371,row2371,2.0,6.6376173317432405,,,,0,0
2371,row2371,3.0,6.981618630886078,,,,0,0
2371,row2371,5.0,7.1376937079429625,,,,0,0
